title,id,imdb_id,tmdb_id,adult,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Cliffhanger,cliffhanger+1993,tt0106582,9350,0,1993-05-28,255000211,112,6.1,600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Entrapment,entrapment+1999,tt0137494,1844,0,1999-04-29,212404396,112,6.0,613,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
The Day After Tomorrow,the+day+after+tomorrow+2004,tt0319262,435,0,2004-05-26,544272402,124,6.2,2462,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Father of the Bride Part II,father+of+the+bride+part+ii+1995,tt0113041,11862,0,1995-02-10,76578911,106,5.7,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mars Attacks!,mars+attacks+1996,tt0116996,75,0,1996-12-12,101371017,106,6.1,1544,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Gone Baby Gone,gone+baby+gone+2007,tt0452623,4771,0,2007-10-19,34619699,113,7.2,1034,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
No Country for Old Men,no+country+for+old+men+2007,tt0477348,6977,0,2007-11-08,171600000,122,7.7,3083,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Home Alone,home+alone+1990,tt0099785,771,0,1990-11-09,476684675,103,7.1,2487,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mask,the+mask+1994,tt0110475,854,0,1994-07-29,351583407,101,6.6,2550,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Beauty and the Beast,beauty+and+the+beast+1991,tt0101414,10020,0,1991-11-13,377350553,84,7.5,3029,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Once Upon a Time in the West,once+upon+a+time+in+the+west+1968,tt0064116,335,0,1968-12-21,5321508,175,8.1,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I Am Sam,i+am+sam+2001,tt0277027,10950,0,2001-12-28,92542418,132,7.2,542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A River Runs Through It,a+river+runs+through+it+1992,tt0105265,293,0,1992-10-09,43440294,123,7.0,241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tombstone,tombstone+1993,tt0108358,11969,0,1993-12-25,56505065,130,7.4,632,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Chinatown,chinatown+1974,tt0071315,829,0,1974-06-20,30000000,130,7.9,939,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Independence Day,independence+day+1996,tt0116629,602,0,1996-06-25,816969268,145,6.7,3334,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Indiscreet,indiscreet+1958,tt0051773,22874,0,1958-06-26,0,100,6.3,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Matrix,the+matrix+1999,tt0133093,603,0,1999-03-30,463517383,136,7.9,9079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GoodFellas,goodfellas+1990,tt0099685,769,0,1990-09-12,46836394,145,8.2,3211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Army of Darkness,army+of+darkness+1992,tt0106308,766,0,1992-10-09,0,81,7.3,852,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Batman Forever,batman+forever+1995,tt0112462,414,0,1995-06-16,336529144,121,5.2,1529,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Diva,diva+1981,tt0082269,4485,0,1981-03-11,0,117,6.7,37,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Close Encounters of the Third Kind,close+encounters+of+the+third+kind+1977,tt0075860,840,0,1977-11-16,303788635,135,7.2,1122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Selena,selena+1997,tt0120094,16052,0,1997-03-21,60000000,127,7.1,115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lost Boys,the+lost+boys+1987,tt0093437,1547,0,1987-07-31,32222567,97,6.8,545,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Princess Mononoke,princess+mononoke+1997,tt0119698,128,0,1997-07-12,159375308,134,8.2,2041,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Species,species+1995,tt0114508,9348,0,1995-07-07,113374103,108,5.5,457,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Wolf,wolf+1994,tt0111742,10395,0,1994-06-17,0,125,6.0,221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hard Eight,hard+eight+1996,tt0119256,8052,0,1996-02-28,222559,96,6.8,177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Wizard of Oz,the+wizard+of+oz+1939,tt0032138,630,0,1939-08-15,33754967,102,7.4,1689,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Thomas and the Magic Railroad,thomas+and+the+magic+railroad+2000,tt0205461,16110,0,2000-07-26,0,85,4.8,10,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Indiana Jones and the Last Crusade,indiana+jones+and+the+last+crusade+1989,tt0097576,89,0,1989-05-24,474171806,127,7.6,3221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strange Days,strange+days+1995,tt0114558,281,0,1995-10-13,7959291,145,6.8,334,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Back to the Future,back+to+the+future+1985,tt0088763,105,0,1985-07-03,381109762,116,8.0,6239,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sleepless in Seattle,sleepless+in+seattle+1993,tt0108160,858,0,1993-06-24,227799884,105,6.5,630,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Up,up+2009,tt1049413,14160,0,2009-05-13,735099082,96,7.8,7048,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Babe,babe+1995,tt0112431,9598,0,1995-07-18,254134910,89,6.0,756,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Miller's Crossing,millers+crossing+1990,tt0100150,379,0,1990-09-21,5080409,115,7.5,431,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
City of God,city+of+god+2002,tt0317248,598,0,2002-02-05,30641770,130,8.2,1852,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ever After: A Cinderella Story,ever+after+a+cinderella+story+1998,tt0120631,9454,0,1998-07-31,65705772,121,6.8,408,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Apollo 13,apollo+13+1995,tt0112384,568,0,1995-06-30,355237933,140,7.3,1637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trainspotting,trainspotting+1996,tt0117951,627,0,1996-02-23,16491080,93,7.8,2737,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Goonies,the+goonies+1985,tt0089218,9340,0,1985-06-06,61503218,114,7.4,1563,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dave,dave+1993,tt0106673,11566,0,1993-05-07,63000000,110,6.3,205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,pulp+fiction+1994,tt0110912,680,0,1994-09-10,213928762,154,8.3,8670,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Man Apart,a+man+apart+2003,tt0266465,8409,0,2003-04-04,44350926,109,5.8,261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Gump,forrest+gump+1994,tt0109830,13,0,1994-07-06,677945399,142,8.2,8147,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Star Wars: Episode I - The Phantom Menace,star+wars+episode+i+-+the+phantom+menace+1999,tt0120915,1893,0,1999-05-19,924317558,136,6.4,4526,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kill Bill: Vol. 1,kill+bill+vol.+1+2003,tt0266697,24,0,2003-10-10,180949000,111,7.7,5091,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metropolis,metropolis+1927,tt0017136,19,0,1927-01-10,650422,153,8.0,666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
When a Man Loves a Woman,when+a+man+loves+a+woman+1994,tt0111693,10449,0,1994-04-29,50021959,126,6.0,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Willy Wonka & the Chocolate Factory,willy+wonka++the+chocolate+factory+1971,tt0067992,252,0,1971-06-29,4000000,100,7.4,826,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Spawn,spawn+1997,tt0120177,10336,0,1997-07-31,87840042,96,5.0,344,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
The Cell,the+cell+2000,tt0209958,8843,0,2000-08-17,104155843,107,6.0,442,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
The Guns of Navarone,the+guns+of+navarone+1961,tt0054953,10911,0,1961-04-27,28900000,158,7.3,191,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Abyss,the+abyss+1989,tt0096754,2756,0,1989-08-09,90000098,139,7.1,822,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Big Daddy,big+daddy+1999,tt0142342,9032,0,1999-06-25,234801895,93,6.2,898,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Shorty,get+shorty+1995,tt0113161,8012,0,1995-10-20,115101622,105,6.4,305,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Batman Returns,batman+returns+1992,tt0103776,364,0,1992-06-19,280000000,126,6.6,1706,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Edge of Tomorrow,edge+of+tomorrow+2014,tt1631867,137113,0,2014-05-27,370541256,113,7.6,4979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matilda,matilda+1996,tt0117008,10830,0,1996-08-02,33459416,98,6.9,892,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hot Fuzz,hot+fuzz+2007,tt0425112,4638,0,2007-02-14,80573774,121,7.4,2252,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Die For,to+die+for+1995,tt0114681,577,0,1995-05-20,21284514,106,6.7,177,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Sin City,sin+city+2005,tt0401792,187,0,2005-04-01,158733820,124,7.2,2755,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Scarlet Letter,the+scarlet+letter+1995,tt0114345,10533,0,1995-10-13,10382407,135,5.5,111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
The Waterboy,the+waterboy+1998,tt0120484,10663,0,1998-11-06,185991646,90,5.9,521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean Girls,mean+girls+2004,tt0377092,10625,0,2004-04-30,129042871,97,6.9,2401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Net,the+net+1995,tt0113957,1642,0,1995-07-28,110627965,114,5.6,359,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Much Ado About Nothing,much+ado+about+nothing+1993,tt0107616,11971,0,1993-05-07,0,111,7.2,194,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mrs. Doubtfire,mrs.+doubtfire+1993,tt0107614,788,0,1993-11-24,441286195,125,7.0,1638,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Don Juan DeMarco,don+juan+demarco+1994,tt0112883,1909,0,1994-10-01,22200000,97,6.3,184,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mad Max 2: The Road Warrior,mad+max+2+the+road+warrior+1981,tt0082694,8810,0,1981-12-24,24600832,95,7.3,981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Bandit Queen,bandit+queen+1994,tt0109206,14785,0,1994-09-09,399,119,7.1,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Condorman,condorman+1981,tt0082199,19379,0,1981-07-02,0,90,5.6,37,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planet of the Apes,planet+of+the+apes+1968,tt0063442,871,0,1968-02-07,33395426,112,7.5,958,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
DragonHeart,dragonheart+1996,tt0116136,8840,0,1996-05-31,115267375,103,6.4,553,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Batman,batman+1989,tt0096895,268,0,1989-06-23,411348924,126,7.0,2145,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Return of the Jedi,return+of+the+jedi+1983,tt0086190,1892,0,1983-05-23,572700000,135,7.9,4763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cast Away,cast+away+2000,tt0162222,8358,0,2000-12-22,429632142,143,7.5,3304,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crouching Tiger  Hidden Dragon,crouching+tiger_+hidden+dragon+2000,tt0190332,146,0,2000-10-01,213525736,120,7.2,949,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Howling,the+howling+1981,tt0082533,11298,0,1981-04-03,17985893,91,6.4,165,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,tt0325980,22,0,2003-07-09,655011224,143,7.5,7191,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Animal House,animal+house+1978,tt0077975,8469,0,1978-07-27,141000000,109,7.0,420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dirty Dozen,the+dirty+dozen+1967,tt0061578,1654,0,1967-06-15,45300000,150,7.5,309,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beautiful Girls,beautiful+girls+1996,tt0115639,9283,0,1996-02-09,0,112,6.6,103,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Go,go+1999,tt0139239,9430,0,1999-04-09,28451622,98,7.0,198,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Watchmen,watchmen+2009,tt0409459,13183,0,2009-03-05,185258983,163,7.0,2892,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Living Daylights,the+living+daylights+1987,tt0093428,708,0,1987-06-29,191185897,130,6.2,447,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boys on the Side,boys+on+the+side+1995,tt0112571,9382,0,1995-02-03,23450000,115,6.3,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rock,the+rock+1996,tt0117500,9802,0,1996-06-06,335062621,136,6.9,1474,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aladdin,aladdin+1992,tt0103639,812,0,1992-11-25,504050219,90,7.4,3495,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
The Lion King,the+lion+king+1994,tt0110357,8587,0,1994-06-23,788241776,89,8.0,5520,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Searching for Bobby Fischer,searching+for+bobby+fischer+1993,tt0108065,14291,0,1993-08-13,7266383,110,7.3,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogma,dogma+1999,tt0120655,1832,0,1999-11-12,30652890,130,6.8,842,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Analyze That,analyze+that+2002,tt0289848,9932,0,2002-12-06,55003135,96,5.7,385,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braveheart,braveheart+1995,tt0112573,197,0,1995-05-24,210000000,177,7.7,3404,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Ed Wood,ed+wood+1994,tt0109707,522,0,1994-09-27,5887457,127,7.3,639,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Family Guy Presents Stewie Griffin: The Untold Story,family+guy+presents+stewie+griffin+the+untold+story+2005,tt0385690,65215,0,2005-07-23,0,88,7.0,113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babylon 5: In the Beginning,babylon+5+in+the+beginning+1998,tt0120711,10940,0,1998-01-04,0,94,7.3,46,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Judge Dredd,judge+dredd+1995,tt0113492,9482,0,1995-06-30,113493481,96,5.4,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Nutty Professor,the+nutty+professor+1996,tt0117218,9327,0,1996-06-26,128769345,95,5.4,717,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Donnie Darko,donnie+darko+2001,tt0246578,141,0,2001-01-18,1270522,113,7.7,3574,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
And Now for Something Completely Different,and+now+for+something+completely+different+1971,tt0066765,9267,0,1971-09-28,0,88,7.1,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lethal Weapon 3,lethal+weapon+3+1992,tt0104714,943,0,1992-05-15,321731527,118,6.4,824,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pretty Woman,pretty+woman+1990,tt0100405,114,0,1990-03-23,463000000,119,7.0,1807,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ace Ventura: Pet Detective,ace+ventura+pet+detective+1994,tt0109040,3049,0,1994-02-04,107217396,86,6.4,1684,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gossip,gossip+2000,tt0176783,18041,0,2000-04-21,5108820,90,5.6,70,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Godfather,the+godfather+1972,tt0068646,238,0,1972-03-14,245066411,175,8.5,6024,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sgt. Bilko,sgt.+bilko+1996,tt0117608,9099,0,1996-03-29,0,90,5.5,96,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Holes,holes+2003,tt0311289,8326,0,2003-04-18,0,117,6.7,396,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Beowulf,beowulf+2007,tt0442933,2310,0,2007-11-05,195735876,115,5.5,855,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Carter,john+carter+2012,tt0401729,49529,0,2012-03-07,284139100,132,6.1,2170,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Who Framed Roger Rabbit,who+framed+roger+rabbit+1988,tt0096438,856,0,1988-06-21,329803958,104,7.2,1466,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Vertigo,vertigo+1958,tt0052357,426,0,1958-05-09,28000000,128,8.0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Beverly Hills Cop III,beverly+hills+cop+iii+1994,tt0109254,306,0,1994-05-24,119208989,104,5.5,445,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,alice+in+wonderland+1951,tt0043274,12092,0,1951-07-03,572000000,75,7.0,1557,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: When Nature Calls,ace+ventura+when+nature+calls+1995,tt0112281,9273,0,1995-11-10,212385533,90,6.1,1128,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guess Who's Coming to Dinner,guess+whos+coming+to+dinner+1967,tt0061735,1879,0,1967-12-11,56666667,108,7.6,174,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Thunderball,thunderball+1965,tt0059800,660,0,1965-12-16,141195658,130,6.5,572,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Youngblood,youngblood+1986,tt0092272,17465,0,1986-01-31,0,110,5.8,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Night of the Living Dead,night+of+the+living+dead+1968,tt0063350,10331,0,1968-10-01,30000000,96,7.5,591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Inception,inception+2010,tt1375666,27205,0,2010-07-14,825532764,148,8.1,14075,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Phenomenon,phenomenon+1996,tt0117333,9294,0,1996-07-05,152036382,123,6.2,328,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
Die Hard,die+hard+1988,tt0095016,562,0,1988-07-15,140767956,131,7.5,4005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Das Boot,das+boot+1981,tt0082096,387,0,1981-09-16,85000000,149,7.9,623,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Barry Lyndon,barry+lyndon+1975,tt0072684,3175,0,1975-12-18,20000000,184,7.7,521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Sixteen Candles,sixteen+candles+1984,tt0088128,15144,0,1984-05-04,23686027,93,6.9,455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Big,big+1988,tt0094737,2280,0,1988-06-03,151668774,104,6.9,1022,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
The Beverly Hillbillies,the+beverly+hillbillies+1993,tt0106400,11041,0,1993-10-15,0,93,5.0,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Know What You Did Last Summer,i+know+what+you+did+last+summer+1997,tt0119345,3597,0,1997-10-17,125586134,100,5.6,698,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Brazil,brazil+1985,tt0088846,68,0,1985-02-20,0,132,7.6,877,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Beauty,american+beauty+1999,tt0169547,14,0,1999-09-15,356296601,122,7.9,3438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shining,the+shining+1980,tt0081505,694,0,1980-05-22,44017374,144,8.1,3890,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Billy Elliot,billy+elliot+2000,tt0249462,71,0,2000-05-18,110000000,110,7.4,774,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Requiem for a Dream,requiem+for+a+dream+2000,tt0180093,641,0,2000-10-27,7390108,102,7.9,2525,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Boy,tommy+boy+1995,tt0114694,11381,0,1995-03-31,32648673,97,6.8,321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absolute Power,absolute+power+1997,tt0118548,66,0,1997-02-14,50068310,121,6.4,226,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
