id,tmdb_id,imdb_id,title,original_title,adult,belongs_to_collection,budget,genres,homepage,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
twelve+monkeys+1995,63,tt0114746,Twelve Monkeys,Twelve Monkeys,False,NAN,29500000,Science Fiction|Thriller|Mystery,null,en,In the year 2035  convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996  he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly  and patient Jeffrey Goines  the son of a famous virus expert  who may hold the key to the mysterious rogue group  the Army of the 12 Monkeys  thought to be responsible for unleashing the killer disease.,12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Universal Pictures|Atlas Entertainment|Classico,United States of America,1995-12-29,168840000,129,English|Français,Released,7.4,2470
groundhog+day+1993,137,tt0107048,Groundhog Day,Groundhog Day,False,NAN,14600000,Romance|Fantasy|Drama|Comedy,null,en,A narcissistic TV weatherman  along with his attractive-but-distant producer and mawkish cameraman  is sent to report on Groundhog Day in the small town of Punxsutawney  where he finds himself repeating the same day over and over.,12.989627,/vXjVd0Vu0MXRZnga7wEnHIIhO5B.jpg,Columbia Pictures,United States of America,1993-02-11,70906973,101,English|Français|Italiano,Released,7.4,2358
babys+day+out+1994,11212,tt0109190,Baby's Day Out,Baby's Day Out,False,NAN,50000000,Action|Adventure|Comedy|Family,null,en,Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents  he lives in a huge mansion  and he's just about to appear in the social pages of the paper. Unfortunately  not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnapers who pretend to be photographers from the newspaper. Successfully kidnaping Baby Bink  they have a harder time keeping hold of the rascal  who not only keeps one step ahead of them  but seems to be more than a little bit smarter than the three bumbling criminals.,12.508518,/21U2jwl36hoTHsXB3fDuIQkcchu.jpg,Twentieth Century Fox Film Corporation,United States of America,1994-07-01,16671505,99,English|Français|Deutsch,Released,5.8,281
seven+samurai+1954,346,tt0047478,Seven Samurai,七人の侍,False,NAN,2000000,Action|Drama,null,ja,A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits  so the samurai gathers six others to help him teach the people how to defend themselves  and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.,15.01777,/v6xrz4fr92KY1oNC3HsEvrsvR1n.jpg,Toho Company,Japan,1954-04-26,271841,207,日本語,Released,8.2,892
it+could+happen+to+you+1994,10660,tt0110167,It Could Happen to You,It Could Happen to You,False,NAN,0,Comedy|Drama|Romance,null,en,Charlie Lang is a simple  kindhearted New York City cop. When he realizes he has no money to tip waitress Yvonne Biasi  Lang offers her half the winnings of his lottery ticket. Amazingly  the ticket happens to be a winner  in the sum of $4 million. True to his word  Lang proceeds to share the prize money with Biasi  which infuriates his greedy wife  Muriel. Not content with the arrangement  Muriel begins scheming to take all the money.,11.272073,/4SSjiAa592zTqko7hHdKcj5d5cS.jpg,TriStar Pictures,United States of America,1994-07-29,0,101,English,Released,6.1,154
the+science+of+sleep+2006,300,tt0354899,The Science of Sleep,La science des rêves,False,NAN,6000000,Comedy|Drama|Fantasy,http://www.lasciencedesreves-lefilm.com/accueil.htm,fr,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,10.603991,/8juTRqn5o43mnlVacp1IzZSd11N.jpg,Gaumont|France 3 Cinéma|Canal+|TPS Star|Partizan Films|Mikado Film,France|Italy,2006-02-11,9524340,105,English|Français|Español,Released,6.8,253
toy+story+2+1999,863,tt0120363,Toy Story 2,Toy Story 2,False,Toy Story Collection,90000000,Animation|Comedy|Family,http://toystory.disney.com/toy-story-2,en,Andy heads off to Cowboy Camp  leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen  owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission  Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.,17.547693,/3CmK3XurcLeUyMifCR28ibzupbB.jpg,Pixar Animation Studios,United States of America,1999-10-30,497366869,92,English,Released,7.3,3914
cliffhanger+1993,9350,tt0106582,Cliffhanger,Cliffhanger,False,NAN,70000000,Action|Adventure|Thriller,null,en,A year after losing his friend in a tragic 4 000-foot fall  former ranger Gabe Walker and his partner  Hal  are called to return to the same peak to rescue a group of stranded climbers  only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.,9.830853,/8XefYka77ypAnPJvaVlfUGBBs4a.jpg,TriStar Pictures|Canal+|Carolco Pictures|RCS Video|Cliffhanger Productions|Pioneer,France|Italy|United States of America,1993-05-28,255000211,112,English,Released,6.1,600
entrapment+1999,1844,tt0137494,Entrapment,Entrapment,False,NAN,66000000,Romance|Drama|Mystery,http://www.foxmovies.com.au/entrapment,en,Two thieves  who travel in elegant circles  try to outsmart each other and  in the process  end up falling in love.,10.62333,/6IKmjW52qeMXx8xXMdX6RRshmY0.jpg,Fountainbridge Films|Regency Enterprises,United Kingdom|United States of America,1999-04-29,212404396,112,English,Released,6.0,613
the+day+after+tomorrow+2004,435,tt0319262,The Day After Tomorrow,The Day After Tomorrow,False,NAN,125000000,Action|Adventure|Science Fiction|Thriller,http://www.thedayaftertomorrow.com/,en,After years of increases in the greenhouse effect   havoc is wreaked globally in the form of catastrophic hurricanes  tornadoes  tidal waves  floods and the beginning of a new Ice Age. Paleoclimatologist  Jack Hall tries to warn the world while also shepherding to safety his son  trapped in New York after the city is overwhelmed by the start of the new big freeze.,15.049695,/pRmpaFjtegy8PnUvSBDyT9dm7c.jpg,Lions Gate Films|Twentieth Century Fox Film Corporation|Centropolis Entertainment|Mark Gordon Productions|Mel's Cite du Cinema,United States of America,2004-05-26,544272402,124,English|日本語|Français|العربية|Español,Released,6.2,2462
father+of+the+bride+part+ii+1995,11862,tt0113041,Father of the Bride Part II,Father of the Bride Part II,False,Father of the Bride Collection,0,Comedy,null,en,Just when George Banks has recovered from his daughter's wedding  he receives the news that she's pregnant ... and that George's wife  Nina  is expecting too. He was planning on selling their home  but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.,8.387519,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Sandollar Productions|Touchstone Pictures,United States of America,1995-02-10,76578911,106,English,Released,5.7,173
mars+attacks+1996,75,tt0116996,Mars Attacks!,Mars Attacks!,False,NAN,70000000,Comedy|Fantasy|Science Fiction,http://marsattacks.warnerbros.com/,en,'We come in peace' is not what those green men from Mars mean when they invade our planet  armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.,15.63424,/gaTuHICwavPUmqQzPZFEXKSRwsC.jpg,Tim Burton Productions,United States of America,1996-12-12,101371017,106,English|Français,Released,6.1,1544
gone+baby+gone+2007,4771,tt0452623,Gone Baby Gone,Gone Baby Gone,False,NAN,19000000,Crime|Drama|Mystery,http://www.miramax.com/movie/gone-baby-gone,en,When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case  the girl's aunt  Beatrice McCready hires two private detectives  Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case  but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses  Kenzie and Gennaro face drug dealers  gangs and pedophiles. When they are about to solve the case  they are faced with a moral dilemma that tears them apart.,6.148516,/dXXMPxGiRegd7NNCtE5uchAKRAG.jpg,Miramax Films|The Ladd Company,United States of America,2007-10-19,34619699,113,English,Released,7.2,1034
no+country+for+old+men+2007,6977,tt0477348,No Country for Old Men,No Country for Old Men,False,NAN,25000000,Crime|Drama|Thriller,null,en,Llewelyn Moss stumbles upon dead bodies  $2 million and a hoard of heroin in a Texas desert  but methodical killer Anton Chigurh comes looking for it  with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.,15.565484,/6o0UWX2naW7HK45PDNYmoMIk5qs.jpg,Miramax Films|Scott Rudin Productions|Paramount Vantage|Mike Zoss Productions,United States of America,2007-11-08,171600000,122,English|Español,Released,7.7,3083
home+alone+1990,771,tt0099785,Home Alone,Home Alone,False,Home Alone Collection,18000000,Comedy|Family,https://www.foxconnect.com/home-alone-4.html,en,Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house  the plucky kid stands ready to defend his territory. By planting booby traps galore  adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.,0.702543,/8IWPBT1rkAaI8Kpk5V3WfQRklJ7.jpg,Twentieth Century Fox Film Corporation|Hughes Entertainment,United States of America,1990-11-09,476684675,103,English,Released,7.1,2487
the+mask+1994,854,tt0110475,The Mask,The Mask,False,The Mask Collection,23000000,Romance|Comedy|Crime|Fantasy,null,en,When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki  his entire life changes. While wearing the mask  Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately  under the mask's influence  Ipkiss also robs a bank  which angers junior crime lord Dorian Tyrell  whose goons get blamed for the heist.,14.13488,/v8x8p441l1Bep8p82pAG6rduBoK.jpg,New Line Cinema|Dark Horse Entertainment,United States of America,1994-07-29,351583407,101,svenska|English,Released,6.6,2550
beauty+and+the+beast+1991,10020,tt0101414,Beauty and the Beast,Beauty and the Beast,False,Beauty and the Beast Collection,25000000,Romance|Family|Animation|Fantasy|Music,http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl,en,Follow the adventures of Belle  a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff  Belle soon learns the most important lesson of all -- that true beauty comes from within.,23.433511,/b9QJr2oblOu1grgOMUZF1xkUJdh.jpg,Walt Disney Pictures|Walt Disney Animation Studios|Silver Screen Partners IV,United States of America,1991-11-13,377350553,84,Français|English,Released,7.5,3029
once+upon+a+time+in+the+west+1968,335,tt0064116,Once Upon a Time in the West,C'era una volta il West,False,NAN,5000000,Western,null,it,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,15.589351,/giwzmbbRZDva184wBOHDXlrmBa3.jpg,Paramount Pictures|Rafran Cinematografica|Finanzia San Marco,Italy|Spain|United States of America,1968-12-21,5321508,175,English,Released,8.1,1160
i+am+sam+2001,10950,tt0277027,I Am Sam,I Am Sam,False,NAN,22000000,Drama,null,en,Sam has the mental capacity of a 7-year-old. He has a daughter with a homeless woman who abandons them when they leave the hospital  leaving Sam to raise Lucy on his own. But as Lucy grows up  Sam's limitations start to become a problem and the authorities take her away. Sam shames high-priced lawyer Rita into taking his case pro bono and in turn teaches her the value of love and family.,12.935016,/gr0jLIUd5Os0RAFH9U5iZMpQ5cw.jpg,New Line Cinema,United States of America,2001-12-28,92542418,132,English,Released,7.2,542
a+river+runs+through+it+1992,293,tt0105265,A River Runs Through It,A River Runs Through It,False,NAN,0,Drama,null,en,A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up  and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.,12.583826,/xX4H1hZG9IgSRkC0LANbPQ0StJi.jpg,Columbia Pictures,United States of America,1992-10-09,43440294,123,English,Released,7.0,241
tombstone+1993,11969,tt0108358,Tombstone,Tombstone,False,NAN,25000000,Action|Adventure|Drama|History|Western,null,en,Legendary marshal Wyatt Earp  now a weary gunfighter  joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.,11.338194,/xYVtxxQjY0ZT80mMu9kyz4A9QR6.jpg,Hollywood Pictures|Cinergi Pictures Entertainment,United States of America,1993-12-25,56505065,130,English|Latin|Español,Released,7.4,632
chinatown+1974,829,tt0071315,Chinatown,Chinatown,False,The Jake Gittes Collection,6000000,Crime|Drama|Mystery|Thriller,null,en,Private eye Jake Gittes lives off the murky moral climate of sunbaked  pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair  Gittes is swept into a maelstrom of double dealings and deadly deceits  uncovering a web of personal and political scandals that come crashing together.,12.29227,/iIHO6FzF6lL4mA90rrmk3Y705XS.jpg,Paramount Pictures|Penthouse|Long Road Productions,United States of America,1974-06-20,30000000,130,Español|广州话 / 廣州話|English,Released,7.9,939
independence+day+1996,602,tt0116629,Independence Day,Independence Day,False,Independence Day Collection,75000000,Action|Adventure|Science Fiction,null,en,On July 2  a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3  the United States conducts a coordinated counterattack that fails. On July 4  a plan is devised to gain access to the interior of the alien mothership in space  in order to plant a nuclear missile.,17.634197,/bqLlWZJdhrS0knfEJRkquW7L8z2.jpg,Twentieth Century Fox Film Corporation|Centropolis Entertainment,United States of America,1996-06-25,816969268,145,English,Released,6.7,3334
indiscreet+1958,22874,tt0051773,Indiscreet,Indiscreet,False,NAN,0,Comedy|Romance,null,en,Anna Kalman is an accomplished actress who has given up hope of finding the man of her dreams. She is in the middle of taking off her face cream  while talking about this subject with her sister  when in walks Philip Adams. She loses her concentration for a moment as she realizes that this is the charming  smart  and handsome man she has been waiting for.,1.407538,/jg3UUTh6EcLvp2isdgHtsLts3kZ.jpg,Warner Bros.|Grandon Productions Ltd.,United Kingdom|United States of America,1958-06-26,0,100,English,Released,6.3,24
the+matrix+1999,603,tt0133093,The Matrix,The Matrix,False,The Matrix Collection,63000000,Action|Science Fiction,http://www.warnerbros.com/matrix,en,Set in the 22nd century  The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.,33.366332,/hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg,Village Roadshow Pictures|Groucho II Film Partnership|Silver Pictures|Warner Bros.,Australia|United States of America,1999-03-30,463517383,136,English,Released,7.9,9079
goodfellas+1990,769,tt0099685,GoodFellas,GoodFellas,False,NAN,25000000,Drama|Crime,http://www.warnerbros.com/goodfellas,en,The true story of Henry Hill  a half-Irish  half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.,15.424092,/hAPeXBdGDGmXRPj4OZZ0poH65Iu.jpg,Winkler Films,United States of America,1990-09-12,46836394,145,Italiano|English,Released,8.2,3211
army+of+darkness+1992,766,tt0106308,Army of Darkness,Army of Darkness,False,Evil Dead Collection,11000000,Fantasy|Horror|Comedy,null,en,A man is accidentally transported to 1300 A.D.  where he must battle an army of the dead and retrieve the Necronomicon so he can return home.,10.704612,/2eZKDIwLNnySbwqQtAaUz0kYDIL.jpg,Universal Pictures|Renaissance Pictures|Metro-Goldwyn-Mayer (MGM)|Dino De Laurentiis Company,United States of America,1992-10-09,0,81,English,Released,7.3,852
batman+forever+1995,414,tt0112462,Batman Forever,Batman Forever,False,Batman Collection,100000000,Action|Crime|Fantasy,null,en,The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent  Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma  computer-genius and former employee of millionaire Bruce Wayne  is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson  his family killed by Two-Face  becomes Wayne's ward and Batman's new partner Robin.,13.321354,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,Warner Bros.|Polygram Filmed Entertainment,United Kingdom|United States of America,1995-06-16,336529144,121,English,Released,5.2,1529
diva+1981,4485,tt0082269,Diva,Diva,False,NAN,0,Action|Drama|Music|Thriller,null,fr,Jules  a young Parisian postman  secretly records a concert performance given by the opera singer Cynthia Hawkins  whom he idolises. The following day  Jules runs into a woman who is being pursued by armed thugs. Before she is killed  the woman slips an audio cassette into his mail bag...,2.211854,/3Got5xWBJWj8K4iVn8gcjDpQ5Mf.jpg,Greenwich Film Productions|Les Films Galaxie|France 2 (FR2),France,1981-03-11,0,117,English|Français|Italiano,Released,6.7,37
close+encounters+of+the+third+kind+1977,840,tt0075860,Close Encounters of the Third Kind,Close Encounters of the Third Kind,False,NAN,20000000,Science Fiction|Drama,null,en,After an encounter with UFOs  a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.,10.610446,/mABOVIUl5lB0WF4HG28rfamgxG1.jpg,Columbia Pictures Corporation|EMI Films|Julia Phillips and Michael Phillips Productions,United States of America,1977-11-16,303788635,135,हिन्दी|English|Français|Español,Released,7.2,1122
selena+1997,16052,tt0120094,Selena,Selena,False,NAN,20000000,Drama,null,en,In this biographical drama  Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father  Abraham  realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist  Chris Perez  who draws the ire of her father. Seeking mainstream stardom  Selena begins recording an English-language album which  tragically  she would never complete.,7.390306,/bmaj1ATO4s0SeRCUMuQ40fm0ulH.jpg,Q Productions|Esparza / Katz Productions,United States of America,1997-03-21,60000000,127,Español|English,Released,7.1,115
the+lost+boys+1987,1547,tt0093437,The Lost Boys,The Lost Boys,False,Lost Boys Collection,8500000,Horror|Comedy,null,en,A mother and her two teenage sons move to a seemingly nice and quiet small coastal California town yet soon find out that it's overrun by bike gangs and vampires. A couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.,9.099731,/evo7oiay9qDUzY510VhrB3YzyJs.jpg,Warner Bros.,United States of America,1987-07-31,32222567,97,English,Released,6.8,545
princess+mononoke+1997,128,tt0119698,Princess Mononoke,もののけ姫,False,NAN,26500000,Adventure|Fantasy|Animation,null,ja,Ashitaka  a prince of the disappearing Ainu tribe  is cursed by a demonized boar god and must journey to the west to find a cure. Along the way  he encounters San  a young human woman fighting to protect the forest  and Lady Eboshi  who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.,17.166725,/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg,Miramax Films|Studio Ghibli|Nibariki|Nippon Television Network (NTV),Japan,1997-07-12,159375308,134,日本語,Released,8.2,2041
species+1995,9348,tt0114508,Species,Species,False,Species Collection,35000000,Science Fiction|Horror|Action,null,en,In 1993  the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure  along with instructions on how to splice it with human DNA. The result is Sil  a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.,13.492845,/94P6kzKH8aPmQmPr9yZjgy7BtQQ.jpg,Metro-Goldwyn-Mayer (MGM),United States of America,1995-07-07,113374103,108,English,Released,5.5,457
wolf+1994,10395,tt0111742,Wolf,Wolf,False,NAN,0,Fantasy,null,en,Publisher Will Randall becomes a werewolf and has to fight to keep his job.,14.063845,/46vYy53pidrxXznVT05Z3r5jgjP.jpg,Columbia Pictures,United States of America,1994-06-17,0,125,English,Released,6.0,221
hard+eight+1996,8052,tt0119256,Hard Eight,Hard Eight,False,NAN,3000000,Drama|Thriller,null,en,A stranger mentors a young Reno gambler who weds a hooker and befriends a vulgar casino regular.,7.04756,/rlULHF25GAFc6F3xZhovctWkNCr.jpg,Green Parrot|Trinity Filmed Entertainment|Rysher Entertainment,United States of America,1996-02-28,222559,96,English,Released,6.8,177
the+wizard+of+oz+1939,630,tt0032138,The Wizard of Oz,The Wizard of Oz,False,NAN,2777000,Adventure|Family|Fantasy,http://thewizardofoz.warnerbros.com/,en,Young Dorothy finds herself in a magical world where she makes friends with a lion  a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.,22.064932,/tKEHoKPZv3af0Pn3poaOLHOJ6NM.jpg,Loew's Incorporated,United States of America,1939-08-15,33754967,102,English,Released,7.4,1689
thomas+and+the+magic+railroad+2000,16110,tt0205461,Thomas and the Magic Railroad,Thomas and the Magic Railroad,False,NAN,0,Animation|Drama|Family|Science Fiction,null,en,Mr. Conductor's supply of magic gold dust  which allows him to travel between Shining Time and Thomas's island  is critically low. Unfortunately  he doesn't know how to get more. Meanwhile  Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin  his new friend Lily and her morose grandfather  plus the secret engine.,1.046659,/jxG520Lc2QFfP2RwRU7Kfnh0sxW.jpg,Destination Films|Isle of Man Film|Britt Allcroft Productions,United Kingdom|United States of America,2000-07-26,0,85,English|Deutsch,Released,4.8,10
indiana+jones+and+the+last+crusade+1989,89,tt0097576,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,False,Indiana Jones Collection,48000000,Adventure|Action,http://www.indianajones.com/crusade,en,When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail  eminent archaeologist Indiana must team up with Marcus Brody  Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.,14.788987,/4p1N2Qrt8j0H8xMHMHvtRxv9weZ.jpg,Lucasfilm|Paramount Pictures,United States of America,1989-05-24,474171806,127,Deutsch|ελληνικά|English,Released,7.6,3221
