user_id,age,occupation,gender
93365,20,clerical/admin,M
31917,25,self-employed,M
6167,34,scientist,M
6466,20,college/grad student,M
62414,30,college/grad student,M
97738,29,clerical/admin,M
42533,32,college/grad student,M
42080,31,college/grad student,M
29609,27,executive/managerial,M
73213,41,unemployed,M
97014,32,executive/managerial,F
20352,18,K-12 student,M
32987,25,technician/engineer,M
102237,33,programmer,M
63619,55,executive/managerial,F
100547,35,college/grad student,M
44960,29,executive/managerial,F
55345,27,artist,M
55307,32,sales/marketing,M
36732,26,college/grad student,M
96812,32,college/grad student,M
83220,34,other or not specified,F
30743,33,executive/managerial,M
59476,25,sales/marketing,M
19406,24,customer service,M
70185,28,executive/managerial,M
95280,25,college/grad student,M
7341,32,executive/managerial,M
1001,28,artist,M
17907,50,executive/managerial,M
15547,28,college/grad student,M
76977,25,scientist,M
43816,28,other or not specified,M
87098,30,college/grad student,M
14235,26,executive/managerial,M
12426,24,college/grad student,M
77562,28,academic/educator,F
35278,30,K-12 student,M
48199,31,college/grad student,M
14358,64,retired,F
89503,33,scientist,M
78806,44,sales/marketing,M
53993,34,executive/managerial,M
28610,29,academic/educator,M
70502,23,sales/marketing,F
66714,32,other or not specified,M
56537,33,other or not specified,M
55045,34,scientist,M
46510,25,college/grad student,M
25712,28,self-employed,F
80329,31,other or not specified,M
77598,34,scientist,F
54474,28,other or not specified,M
39080,35,executive/managerial,M
53620,29,sales/marketing,M
89250,34,other or not specified,F
22140,19,sales/marketing,M
83425,37,other or not specified,M
14377,27,clerical/admin,M
35791,25,sales/marketing,F
49014,29,tradesman/craftsman,M
17791,33,college/grad student,M
13373,33,sales/marketing,M
45582,26,homemaker,M
17950,25,college/grad student,F
37028,25,sales/marketing,M
15325,31,college/grad student,M
74455,28,sales/marketing,M
9892,18,K-12 student,F
82658,28,homemaker,F
16498,22,artist,M
11880,26,K-12 student,M
19347,29,executive/managerial,M
92972,27,college/grad student,F
9786,27,college/grad student,M
91263,28,executive/managerial,M
55875,18,K-12 student,F
18897,44,sales/marketing,M
59872,28,other or not specified,F
9494,26,college/grad student,M
81287,28,scientist,M
31605,30,college/grad student,F
39961,28,other or not specified,F
53001,27,executive/managerial,M
57086,33,other or not specified,M
88413,27,other or not specified,M
72314,32,other or not specified,F
79314,25,sales/marketing,M
55540,27,scientist,M
71323,34,college/grad student,M
14414,24,sales/marketing,M
16353,42,college/grad student,F
10715,28,executive/managerial,M
47100,19,scientist,M
74470,33,other or not specified,M
52145,29,executive/managerial,M
71309,27,academic/educator,F
2117,34,sales/marketing,M
14409,32,sales/marketing,M
34149,36,self-employed,F
92951,30,other or not specified,F
102609,26,college/grad student,M
74671,34,executive/managerial,M
28120,39,executive/managerial,M
61039,33,academic/educator,F
92313,25,technician/engineer,M
49496,25,scientist,M
84281,28,executive/managerial,M
96979,27,college/grad student,F
100515,26,academic/educator,F
69637,18,K-12 student,M
43421,30,college/grad student,M
78213,32,college/grad student,M
68381,28,college/grad student,M
21624,26,scientist,M
23929,26,executive/managerial,M
13834,41,academic/educator,M
62318,29,academic/educator,M
100053,29,self-employed,F
7669,28,scientist,M
29375,34,homemaker,M
94564,25,executive/managerial,M
7452,28,sales/marketing,M
22424,30,college/grad student,M
95786,25,college/grad student,M
50001,27,self-employed,M
19059,28,scientist,M
99085,26,college/grad student,M
37938,30,college/grad student,M
71532,24,sales/marketing,M
32083,29,executive/managerial,M
50660,25,clerical/admin,F
52505,31,scientist,M
56071,30,sales/marketing,M
23842,28,sales/marketing,M
59440,28,scientist,M
87879,31,scientist,M
54674,27,sales/marketing,M
15532,22,sales/marketing,M
16559,28,college/grad student,F
24258,10,self-employed,M
44661,30,college/grad student,M
87234,53,executive/managerial,M
84172,34,college/grad student,M
45544,25,lawyer,M
42255,31,executive/managerial,F
3434,30,college/grad student,M
66939,28,executive/managerial,M
63840,34,homemaker,M
63715,32,executive/managerial,M
5316,34,college/grad student,M
96125,33,executive/managerial,F
5288,26,scientist,M
102563,24,scientist,M
13722,28,programmer,M
90843,31,college/grad student,M
70223,26,executive/managerial,M
46976,26,self-employed,F
87968,29,college/grad student,M
101100,31,sales/marketing,M
59194,33,academic/educator,M
84855,25,sales/marketing,M
20527,34,college/grad student,M
103666,32,other or not specified,M
75102,34,doctor/health care,M
3794,27,college/grad student,M
98930,30,academic/educator,F
103304,31,other or not specified,F
20011,29,sales/marketing,M
30375,32,sales/marketing,M
45168,30,college/grad student,M
73540,27,college/grad student,M
78126,32,other or not specified,M
89636,30,college/grad student,M
82408,34,executive/managerial,M
70060,28,other or not specified,F
73227,29,self-employed,M
60334,25,self-employed,M
74099,25,executive/managerial,M
2094,34,other or not specified,M
247,28,sales/marketing,M
1767,31,self-employed,M
30230,33,scientist,F
69879,25,self-employed,M
43452,31,executive/managerial,M
53115,22,other or not specified,M
48830,28,other or not specified,F
14399,30,college/grad student,M
40334,27,scientist,M
72339,32,college/grad student,M
96926,30,technician/engineer,M
99072,29,K-12 student,M
23460,32,sales/marketing,F
6530,33,customer service,M
36568,25,college/grad student,M
15066,29,sales/marketing,M
30799,30,sales/marketing,M
62706,29,sales/marketing,M
76064,29,college/grad student,F
99248,30,artist,F
4097,31,homemaker,M
52773,30,college/grad student,F
32098,27,college/grad student,M
68486,26,executive/managerial,M
40600,24,other or not specified,M
23914,84,academic/educator,F
51953,28,executive/managerial,M
81970,25,sales/marketing,M
86781,27,college/grad student,M
29920,28,college/grad student,M
32388,31,programmer,M
73531,26,college/grad student,M
84031,27,artist,M
87157,34,self-employed,M
79477,18,K-12 student,M
55002,31,K-12 student,F
52851,23,sales/marketing,M
67319,30,self-employed,M
31220,34,executive/managerial,M
1823,27,executive/managerial,M
41694,34,scientist,M
44848,22,technician/engineer,M
22947,31,executive/managerial,M
69312,27,college/grad student,M
88156,22,sales/marketing,M
28377,32,scientist,M
98909,29,sales/marketing,M
91041,27,executive/managerial,M
34584,30,artist,M
91408,34,self-employed,M
47654,34,homemaker,M
26831,19,K-12 student,M
61766,29,scientist,F
44838,29,executive/managerial,F
56584,32,other or not specified,M
45918,32,self-employed,M
14665,34,sales/marketing,M
50982,28,artist,M
3959,33,college/grad student,M
53492,30,technician/engineer,M
94310,25,scientist,M
79725,43,sales/marketing,F
82717,39,other or not specified,M
91971,30,college/grad student,M
6317,29,scientist,M
21876,25,executive/managerial,M
44970,30,self-employed,F
40956,26,self-employed,M
13626,83,executive/managerial,M
69569,28,college/grad student,F
4650,29,writer,F
60285,30,college/grad student,M
8150,29,scientist,M
67678,30,college/grad student,F
50460,27,other or not specified,M
3414,33,college/grad student,F
52377,25,college/grad student,M
44779,28,self-employed,M
89549,17,K-12 student,F
94322,31,college/grad student,F
72550,30,college/grad student,M
30991,78,executive/managerial,M
47618,31,sales/marketing,M
74612,26,college/grad student,M
47934,34,homemaker,M
29723,43,academic/educator,F
24560,26,college/grad student,M
19027,32,other or not specified,M
49547,34,self-employed,M
47318,25,executive/managerial,M
60567,31,other or not specified,M
31151,33,sales/marketing,M
70278,25,programmer,M
79975,34,executive/managerial,M
84581,30,artist,M
24146,34,college/grad student,M
34563,34,college/grad student,M
35007,29,college/grad student,M
33431,25,executive/managerial,M
47511,26,executive/managerial,M
59818,32,other or not specified,M
40225,34,college/grad student,M
63364,26,other or not specified,M
52255,30,college/grad student,M
80316,30,scientist,M
14856,26,sales/marketing,M
34929,31,sales/marketing,M
82604,27,college/grad student,M
27948,34,college/grad student,M
11256,32,executive/managerial,F
49271,28,tradesman/craftsman,M
55451,34,executive/managerial,M
11881,34,homemaker,F
8887,26,self-employed,F
53795,32,sales/marketing,M
16572,30,executive/managerial,M
79624,25,clerical/admin,M
49236,26,scientist,M
75274,31,other or not specified,F
28266,18,K-12 student,M
70429,25,scientist,M
28718,82,sales/marketing,F
89537,36,academic/educator,M
45419,34,other or not specified,M
70188,63,retired,M
65296,25,college/grad student,M
72222,25,college/grad student,M
73644,26,scientist,M
78242,25,executive/managerial,M
12030,18,scientist,M
39720,34,executive/managerial,M
74050,30,college/grad student,M
4835,28,executive/managerial,F
43248,28,sales/marketing,M
75034,19,self-employed,F
73131,28,self-employed,M
84260,27,scientist,M
88303,32,scientist,M
47932,23,scientist,M
27155,37,executive/managerial,M
85285,30,college/grad student,M
64952,26,tradesman/craftsman,M
30308,26,sales/marketing,M
69237,21,scientist,M
13650,27,other or not specified,M
37009,30,scientist,M
103336,23,sales/marketing,M
19159,32,sales/marketing,M
87017,25,academic/educator,M
90891,34,academic/educator,M
50576,30,homemaker,M
47913,34,college/grad student,M
88435,31,self-employed,F
54031,28,college/grad student,M
102007,43,executive/managerial,M
21748,32,executive/managerial,M
62969,26,college/grad student,M
44442,29,executive/managerial,M
21506,22,K-12 student,M
35349,33,college/grad student,M
101501,30,executive/managerial,M
26814,22,other or not specified,M
97296,25,executive/managerial,M
59692,31,college/grad student,M
7601,18,customer service,M
24437,85,executive/managerial,M
23002,33,academic/educator,F
4870,26,sales/marketing,M
71562,26,scientist,M
73082,28,self-employed,F
95304,31,college/grad student,M
6106,31,college/grad student,M
67474,31,college/grad student,M
93119,18,artist,F
11186,49,K-12 student,F
77097,18,K-12 student,M
31850,28,college/grad student,M
88388,26,college/grad student,F
81618,31,executive/managerial,M
102708,29,academic/educator,M
39634,26,college/grad student,F
67804,19,homemaker,M
38234,53,executive/managerial,M
33976,43,executive/managerial,M
101399,26,homemaker,M
88084,77,other or not specified,M
58016,28,other or not specified,M
82091,28,sales/marketing,M
23406,25,sales/marketing,M
98370,30,sales/marketing,M
52431,18,college/grad student,M
39484,29,executive/managerial,M
60648,25,college/grad student,F
27868,34,homemaker,F
55907,32,sales/marketing,M
29223,21,sales/marketing,M
67442,30,scientist,M
57911,28,homemaker,F
44503,21,K-12 student,F
75816,30,college/grad student,M
25246,27,executive/managerial,M
6463,31,executive/managerial,M
42781,32,scientist,F
72186,21,K-12 student,M
81995,27,scientist,M
7115,27,executive/managerial,M
29564,26,artist,M
58392,25,scientist,M
10093,32,executive/managerial,M
39606,32,scientist,M
11816,30,college/grad student,M
19127,34,executive/managerial,M
91120,27,sales/marketing,M
32522,18,K-12 student,M
92509,34,executive/managerial,M
58622,31,college/grad student,M
36070,26,college/grad student,M
22820,25,college/grad student,M
12617,30,executive/managerial,F
55098,26,self-employed,M
36487,31,college/grad student,M
79382,28,sales/marketing,M
86853,34,homemaker,F
78081,26,homemaker,F
96780,36,clerical/admin,M
93934,28,college/grad student,M
19374,33,academic/educator,M
60061,31,executive/managerial,M
34829,27,scientist,M
100551,32,academic/educator,F
66004,29,other or not specified,M
102082,29,self-employed,M
8519,64,retired,F
1924,33,college/grad student,M
38062,33,college/grad student,M
33697,30,sales/marketing,M
99935,30,college/grad student,M
81202,26,self-employed,F
22602,28,sales/marketing,M
99489,32,executive/managerial,F
29103,34,college/grad student,M
52653,28,academic/educator,F
56463,26,scientist,M
80132,30,college/grad student,M
88578,26,college/grad student,M
71905,30,college/grad student,M
66800,30,executive/managerial,M
49315,33,self-employed,M
41933,34,college/grad student,M
20369,27,self-employed,M
19490,31,college/grad student,M
74942,28,college/grad student,M
76633,25,sales/marketing,M
22614,34,scientist,M
33019,32,executive/managerial,M
77276,36,executive/managerial,M
18388,34,executive/managerial,M
47298,34,executive/managerial,M
55219,25,sales/marketing,M
52167,33,executive/managerial,M
31192,32,college/grad student,M
913,26,college/grad student,M
20124,32,retired,F
82697,31,college/grad student,M
23455,32,homemaker,M
92438,27,academic/educator,F
90163,24,clerical/admin,M
64665,28,homemaker,F
44955,27,executive/managerial,M
48939,22,scientist,M
94810,34,sales/marketing,M
69439,18,college/grad student,M
96339,34,college/grad student,M
35345,34,scientist,M
5390,26,college/grad student,M
13845,33,other or not specified,M
64302,32,executive/managerial,M
21538,18,sales/marketing,M
3534,19,sales/marketing,M
56,32,self-employed,M
99143,28,scientist,F
22698,28,executive/managerial,M
80753,35,self-employed,F
70356,25,self-employed,M
42414,31,sales/marketing,M
11752,33,scientist,M
42959,26,academic/educator,F
52713,78,college/grad student,F
59332,27,sales/marketing,M
37843,33,other or not specified,M
42758,29,college/grad student,M
56067,28,homemaker,M
12634,31,scientist,M
15600,26,executive/managerial,M
65277,29,homemaker,M
10427,31,college/grad student,M
92667,31,doctor/health care,F
40272,28,college/grad student,M
8012,33,clerical/admin,M
4247,28,college/grad student,M
26201,34,executive/managerial,M
26965,26,executive/managerial,M
12629,27,sales/marketing,M
55681,18,homemaker,M
22030,18,K-12 student,F
96734,34,executive/managerial,M
44425,29,college/grad student,M
90330,34,college/grad student,M
15643,40,homemaker,M
66961,29,executive/managerial,M
35681,33,college/grad student,M
100817,44,executive/managerial,F
80420,31,programmer,M
97787,28,scientist,M
59020,26,college/grad student,F
75667,27,college/grad student,M
49673,31,college/grad student,M
75547,25,scientist,M
52547,28,scientist,F
6918,32,tradesman/craftsman,M
57716,40,artist,M
31161,27,self-employed,M
99534,28,college/grad student,M
21967,30,customer service,M
94055,26,scientist,M
78777,25,college/grad student,F
70751,28,scientist,M
55141,25,academic/educator,F
24349,32,college/grad student,M
47945,28,scientist,M
73857,29,scientist,F
4011,33,executive/managerial,M
98918,34,college/grad student,M
36162,31,other or not specified,M
7068,29,executive/managerial,M
31359,26,college/grad student,F
83844,37,homemaker,F
86348,43,academic/educator,F
54403,25,other or not specified,F
87230,27,college/grad student,M
17959,34,scientist,M
54252,27,other or not specified,M
31729,32,scientist,M
71590,29,executive/managerial,M
54242,35,executive/managerial,M
42930,33,college/grad student,F
74825,33,executive/managerial,M
35674,29,sales/marketing,M
39547,34,college/grad student,M
11994,34,executive/managerial,M
55852,33,executive/managerial,M
61274,21,K-12 student,M
66021,33,college/grad student,M
87381,28,other or not specified,M
73408,27,college/grad student,F
3629,42,sales/marketing,M
93173,28,homemaker,M
71436,31,artist,M
21720,32,scientist,M
12921,30,other or not specified,M
46615,25,college/grad student,M
101890,33,college/grad student,M
103154,31,college/grad student,M
50482,29,executive/managerial,M
96899,26,college/grad student,M
26731,42,other or not specified,M
49113,25,executive/managerial,M
56280,32,executive/managerial,M
39505,31,executive/managerial,M
99351,32,college/grad student,M
64065,34,doctor/health care,F
28088,25,executive/managerial,M
77924,25,college/grad student,M
33663,28,college/grad student,M
90213,25,college/grad student,M
58666,30,artist,M
69989,33,college/grad student,F
83887,25,scientist,M
3930,32,scientist,F
41252,16,unemployed,M
55501,33,self-employed,M
73878,32,college/grad student,M
64567,41,executive/managerial,M
40038,29,college/grad student,M
70531,30,other or not specified,M
23219,32,college/grad student,M
76898,34,executive/managerial,F
71671,26,sales/marketing,M
101954,30,executive/managerial,M
100480,19,sales/marketing,M
75130,32,college/grad student,F
98015,26,executive/managerial,M
62116,29,self-employed,M
78376,29,executive/managerial,M
65091,28,sales/marketing,F
58146,28,other or not specified,M
39048,51,academic/educator,M
6031,38,self-employed,M
31354,29,other or not specified,F
44083,25,college/grad student,M
68881,55,executive/managerial,F
94994,54,executive/managerial,M
7673,26,executive/managerial,M
10822,32,sales/marketing,M
20850,27,self-employed,M
27916,40,executive/managerial,M
2659,33,executive/managerial,M
16862,25,executive/managerial,M
37467,25,college/grad student,M
63732,33,sales/marketing,M
19540,30,self-employed,M
92192,27,college/grad student,M
14181,18,college/grad student,F
69452,32,clerical/admin,F
13024,33,self-employed,M
9907,33,homemaker,M
31625,30,college/grad student,M
5205,28,other or not specified,M
91584,33,self-employed,M
49668,21,artist,F
5967,28,K-12 student,M
65017,31,scientist,M
44293,26,executive/managerial,M
42598,28,sales/marketing,M
69594,24,sales/marketing,F
100721,27,writer,F
14818,33,college/grad student,M
13095,25,college/grad student,M
9241,29,executive/managerial,F
36931,25,clerical/admin,M
63408,29,college/grad student,M
97539,24,sales/marketing,M
185,25,college/grad student,M
1063,26,scientist,M
82584,26,college/grad student,M
50665,32,other or not specified,M
73440,28,college/grad student,F
98033,32,retired,F
48383,33,college/grad student,M
17275,32,college/grad student,M
83435,18,self-employed,M
67938,27,executive/managerial,M
83080,27,executive/managerial,M
79369,25,college/grad student,F
64822,25,other or not specified,M
14606,29,college/grad student,M
57207,28,scientist,M
64494,26,self-employed,M
1982,28,scientist,M
100881,33,executive/managerial,M
29392,28,executive/managerial,M
16915,31,academic/educator,F
45901,31,academic/educator,F
95693,24,scientist,M
75737,30,college/grad student,F
20345,33,college/grad student,M
54916,30,college/grad student,M
85339,14,K-12 student,M
43790,33,college/grad student,F
85730,27,sales/marketing,M
19110,32,self-employed,M
94676,26,executive/managerial,M
58933,34,scientist,M
18336,34,executive/managerial,M
89714,31,sales/marketing,M
17539,18,homemaker,M
61516,25,executive/managerial,M
12507,29,retired,M
7886,29,college/grad student,M
88728,25,college/grad student,M
67900,34,other or not specified,F
76909,29,college/grad student,M
58846,25,sales/marketing,M
28337,34,self-employed,M
96839,31,college/grad student,F
25548,55,academic/educator,M
59183,33,other or not specified,M
17285,18,K-12 student,M
102986,55,executive/managerial,M
28786,30,scientist,M
58114,28,college/grad student,M
62104,27,self-employed,M
64398,34,college/grad student,M
33564,30,other or not specified,M
94195,26,other or not specified,M
83028,26,executive/managerial,M
57471,25,other or not specified,M
80496,31,executive/managerial,F
18706,41,executive/managerial,M
59945,30,executive/managerial,M
76830,32,retired,F
90923,30,academic/educator,M
86009,32,college/grad student,M
36066,27,college/grad student,M
97814,36,self-employed,M
81966,32,executive/managerial,M
98609,33,tradesman/craftsman,M
38181,30,college/grad student,M
16581,31,sales/marketing,M
51358,31,executive/managerial,M
58482,25,other or not specified,M
54637,34,executive/managerial,F
44899,28,scientist,M
4479,34,college/grad student,F
38606,29,retired,M
59972,29,other or not specified,M
46072,27,clerical/admin,M
101888,25,executive/managerial,M
100710,31,college/grad student,M
39220,30,other or not specified,M
41577,26,college/grad student,M
39345,34,programmer,M
31585,29,college/grad student,M
33326,18,K-12 student,M
27679,33,sales/marketing,F
87484,25,scientist,M
42662,21,programmer,M
82376,18,sales/marketing,M
51476,29,self-employed,F
52399,25,executive/managerial,M
24368,30,executive/managerial,M
44535,33,self-employed,F
86088,31,college/grad student,M
84869,22,college/grad student,M
29721,28,executive/managerial,M
95172,32,scientist,M
10049,74,executive/managerial,M
60552,24,sales/marketing,M
17246,73,academic/educator,F
22910,37,executive/managerial,M
100689,34,executive/managerial,M
67408,25,college/grad student,F
20909,32,college/grad student,M
37691,20,scientist,M
52594,28,college/grad student,M
39569,29,homemaker,M
12939,28,executive/managerial,M
80366,30,other or not specified,M
26262,27,college/grad student,M
25837,30,college/grad student,M
71243,32,doctor/health care,M
64122,26,technician/engineer,M
59660,28,college/grad student,F
46816,31,other or not specified,M
95776,32,executive/managerial,M
66742,25,other or not specified,M
86359,32,sales/marketing,M
74443,32,executive/managerial,M
3313,32,academic/educator,M
46382,32,sales/marketing,M
96135,25,tradesman/craftsman,M
85922,40,clerical/admin,M
68564,26,sales/marketing,M
64847,25,scientist,M
42828,19,self-employed,M
76449,32,college/grad student,F
39806,26,self-employed,M
102471,28,executive/managerial,M
60039,34,college/grad student,M
82123,33,college/grad student,M
81580,28,scientist,M
33298,86,retired,M
86975,28,sales/marketing,M
5582,21,sales/marketing,M
40633,32,writer,M
90375,30,sales/marketing,M
15346,31,college/grad student,M
28587,25,executive/managerial,F
83662,31,programmer,M
61577,29,scientist,M
96545,82,executive/managerial,F
73947,18,sales/marketing,M
66951,28,sales/marketing,M
52741,28,executive/managerial,M
46647,23,sales/marketing,M
22223,33,college/grad student,M
23601,67,academic/educator,F
54903,58,executive/managerial,M
6602,25,clerical/admin,M
69298,30,homemaker,M
28858,27,college/grad student,M
19883,53,sales/marketing,F
77963,27,sales/marketing,M
73622,24,sales/marketing,M
23082,31,scientist,M
40864,26,sales/marketing,M
85798,20,scientist,M
79184,32,scientist,M
34595,33,college/grad student,F
77142,34,sales/marketing,F
22175,34,executive/managerial,M
59890,30,scientist,M
70936,39,clerical/admin,M
40092,34,college/grad student,M
70568,25,college/grad student,M
46558,33,self-employed,M
26942,30,other or not specified,F
57879,28,scientist,M
6355,27,self-employed,M
51393,33,executive/managerial,M
96505,31,college/grad student,M
13174,18,clerical/admin,M
98559,26,other or not specified,M
49705,33,scientist,M
54063,34,homemaker,M
35342,29,executive/managerial,M
22742,22,sales/marketing,M
17214,27,executive/managerial,M
96398,32,executive/managerial,M
85221,80,academic/educator,M
47303,34,college/grad student,M
68707,41,academic/educator,F
71094,30,technician/engineer,M
65367,31,scientist,F
69522,33,self-employed,M
19726,28,scientist,M
91785,25,college/grad student,M
43074,34,retired,M
72546,33,scientist,M
62635,34,college/grad student,M
75254,27,college/grad student,M
33590,30,college/grad student,F
24459,26,academic/educator,F
15408,28,executive/managerial,M
74373,38,executive/managerial,M
100185,34,academic/educator,M
53655,29,scientist,M
55298,29,sales/marketing,M
69725,32,executive/managerial,M
20437,30,other or not specified,M
75686,34,self-employed,M
60381,21,sales/marketing,M
4697,32,sales/marketing,F
51293,18,sales/marketing,M
86810,27,college/grad student,M
15098,27,other or not specified,M
16701,18,artist,M
89382,34,college/grad student,M
68394,33,executive/managerial,M
29163,37,college/grad student,M
68582,29,college/grad student,M
97311,19,sales/marketing,M
83403,26,executive/managerial,M
73016,27,college/grad student,F
99304,33,sales/marketing,M
32091,32,sales/marketing,M
100779,25,college/grad student,F
33885,28,programmer,M
14343,25,scientist,M
78408,32,executive/managerial,M
81860,34,sales/marketing,M
77753,20,sales/marketing,M
30021,31,college/grad student,F
71684,29,executive/managerial,M
42800,21,scientist,M
6295,65,retired,M
19508,33,scientist,M
74277,32,college/grad student,M
29753,30,college/grad student,M
62769,21,sales/marketing,M
81307,32,executive/managerial,M
31394,29,college/grad student,M
70716,33,scientist,M
45811,31,artist,M
62382,28,college/grad student,F
70800,26,executive/managerial,M
76439,28,sales/marketing,M
39693,70,executive/managerial,M
80554,34,scientist,M
19582,29,executive/managerial,M
21839,32,other or not specified,M
70652,31,college/grad student,M
98858,20,other or not specified,M
86361,28,college/grad student,F
85287,18,K-12 student,M
27397,30,executive/managerial,M
29007,16,college/grad student,F
55182,20,scientist,M
2042,9,sales/marketing,M
58561,25,executive/managerial,M
75038,25,self-employed,M
77935,27,sales/marketing,M
58396,31,scientist,M
28798,30,college/grad student,M
97946,31,college/grad student,M
48255,31,K-12 student,M
88869,44,college/grad student,M
87582,25,college/grad student,M
64132,28,scientist,M
92455,29,sales/marketing,M
45783,27,executive/managerial,M
64945,31,college/grad student,M
7008,31,college/grad student,M
89659,26,academic/educator,F
84628,25,college/grad student,M
55964,32,academic/educator,M
87213,33,scientist,M
